class	method	return	params
Landroid/app/Activity;	<init>	V	
Landroid/app/Activity;	dispatchTouchEvent	Z	Landroid/view/MotionEvent;
Landroid/app/Activity;	findViewById	Landroid/view/View;	I
Landroid/app/Activity;	finish	V	
Landroid/app/Activity;	getApplicationContext	Landroid/content/Context;	
Landroid/app/Activity;	getContentResolver	Landroid/content/ContentResolver;	
Landroid/app/Activity;	getPackageManager	Landroid/content/pm/PackageManager;	
Landroid/app/Activity;	getResources	Landroid/content/res/Resources;	
Landroid/app/Activity;	getSystemService	Ljava/lang/Object;	Ljava/lang/String;
Landroid/app/Activity;	getWindowManager	Landroid/view/WindowManager;	
Landroid/app/Activity;	onActivityResult	V	I,I,Landroid/content/Intent;
Landroid/app/Activity;	onCreate	V	Landroid/os/Bundle;
Landroid/app/Activity;	onCreateOptionsMenu	Z	Landroid/view/Menu;
Landroid/app/Activity;	onDestroy	V	
Landroid/app/Activity;	onKeyDown	Z	I,Landroid/view/KeyEvent;
Landroid/app/Activity;	onKeyUp	Z	I,Landroid/view/KeyEvent;
Landroid/app/Activity;	onOptionsItemSelected	Z	Landroid/view/MenuItem;
Landroid/app/Activity;	onPause	V	
Landroid/app/Activity;	onRestart	V	
Landroid/app/Activity;	onResume	V	
Landroid/app/Activity;	onStart	V	
Landroid/app/Activity;	onStop	V	
Landroid/app/Activity;	onWindowFocusChanged	V	Z
Landroid/app/Activity;	removeDialog	V	I
Landroid/app/Activity;	sendOrderedBroadcast	V	Landroid/content/Intent;,Ljava/lang/String;,Landroid/content/BroadcastReceiver;,Landroid/os/Handler;,I,Ljava/lang/String;,Landroid/os/Bundle;
Landroid/app/Activity;	showDialog	V	I
Landroid/app/Activity;	startActivity	V	Landroid/content/Intent;
Landroid/app/ActivityManager;	getRunningServices	Ljava/util/List;	I
Landroid/app/AlertDialog$Builder;	<init>	V	Landroid/content/Context;
Landroid/app/AlertDialog$Builder;	create	Landroid/app/AlertDialog;	
Landroid/app/AlertDialog$Builder;	setCancelable	Landroid/app/AlertDialog$Builder;	Z
Landroid/app/AlertDialog$Builder;	setIcon	Landroid/app/AlertDialog$Builder;	I
Landroid/app/AlertDialog$Builder;	setMessage	Landroid/app/AlertDialog$Builder;	I
Landroid/app/AlertDialog$Builder;	setMessage	Landroid/app/AlertDialog$Builder;	Ljava/lang/CharSequence;
Landroid/app/AlertDialog$Builder;	setNegativeButton	Landroid/app/AlertDialog$Builder;	I,Landroid/content/DialogInterface$OnClickListener;
Landroid/app/AlertDialog$Builder;	setNegativeButton	Landroid/app/AlertDialog$Builder;	Ljava/lang/CharSequence;,Landroid/content/DialogInterface$OnClickListener;
Landroid/app/AlertDialog$Builder;	setPositiveButton	Landroid/app/AlertDialog$Builder;	I,Landroid/content/DialogInterface$OnClickListener;
Landroid/app/AlertDialog$Builder;	setPositiveButton	Landroid/app/AlertDialog$Builder;	Ljava/lang/CharSequence;,Landroid/content/DialogInterface$OnClickListener;
Landroid/app/AlertDialog$Builder;	setTitle	Landroid/app/AlertDialog$Builder;	Ljava/lang/CharSequence;
Landroid/app/AlertDialog$Builder;	setView	Landroid/app/AlertDialog$Builder;	Landroid/view/View;
Landroid/app/AlertDialog$Builder;	show	Landroid/app/AlertDialog;	
Landroid/app/AlertDialog;	setOnCancelListener	V	Landroid/content/DialogInterface$OnCancelListener;
Landroid/app/AlertDialog;	setOnDismissListener	V	Landroid/content/DialogInterface$OnDismissListener;
Landroid/app/AlertDialog;	show	V	
Landroid/app/Application;	<init>	V	
Landroid/app/Application;	onCreate	V	
Landroid/app/Application;	onLowMemory	V	
Landroid/app/Application;	onTerminate	V	
Landroid/app/Dialog;	getWindow	Landroid/view/Window;	
Landroid/app/ProgressDialog;	<init>	V	Landroid/content/Context;
Landroid/app/ProgressDialog;	dismiss	V	
Landroid/app/ProgressDialog;	isShowing	Z	
Landroid/app/ProgressDialog;	setCancelable	V	Z
Landroid/app/ProgressDialog;	setIndeterminate	V	Z
Landroid/app/ProgressDialog;	setMessage	V	Ljava/lang/CharSequence;
Landroid/app/ProgressDialog;	setOnCancelListener	V	Landroid/content/DialogInterface$OnCancelListener;
Landroid/app/ProgressDialog;	setProgressStyle	V	I
Landroid/app/ProgressDialog;	setTitle	V	Ljava/lang/CharSequence;
Landroid/app/ProgressDialog;	show	V	
Landroid/app/Service;	<init>	V	
Landroid/app/Service;	onDestroy	V	
Landroid/app/Service;	onStart	V	Landroid/content/Intent;,I
Landroid/app/Service;	onUnbind	Z	Landroid/content/Intent;
Landroid/content/ActivityNotFoundException;	getMessage	Ljava/lang/String;	
Landroid/content/BroadcastReceiver;	<init>	V	
Landroid/content/ComponentName;	<init>	V	Ljava/lang/String;,Ljava/lang/String;
Landroid/content/ComponentName;	getClassName	Ljava/lang/String;	
Landroid/content/ContentResolver;	query	Landroid/database/Cursor;	Landroid/net/Uri;,[Ljava/lang/String;,Ljava/lang/String;,[Ljava/lang/String;,Ljava/lang/String;
Landroid/content/ContentValues;	<init>	V	
Landroid/content/ContentValues;	put	V	Ljava/lang/String;,Ljava/lang/Integer;
Landroid/content/ContentValues;	put	V	Ljava/lang/String;,Ljava/lang/Long;
Landroid/content/ContentValues;	put	V	Ljava/lang/String;,Ljava/lang/String;
Landroid/content/ContentValues;	put	V	Ljava/lang/String;,[B
Landroid/content/Context;	getApplicationContext	Landroid/content/Context;	
Landroid/content/Context;	getApplicationInfo	Landroid/content/pm/ApplicationInfo;	
Landroid/content/Context;	getAssets	Landroid/content/res/AssetManager;	
Landroid/content/Context;	getContentResolver	Landroid/content/ContentResolver;	
Landroid/content/Context;	getPackageManager	Landroid/content/pm/PackageManager;	
Landroid/content/Context;	getPackageName	Ljava/lang/String;	
Landroid/content/Context;	getResources	Landroid/content/res/Resources;	
Landroid/content/Context;	getSharedPreferences	Landroid/content/SharedPreferences;	Ljava/lang/String;,I
Landroid/content/Context;	getSystemService	Ljava/lang/Object;	Ljava/lang/String;
Landroid/content/Context;	registerReceiver	Landroid/content/Intent;	Landroid/content/BroadcastReceiver;,Landroid/content/IntentFilter;
Landroid/content/Context;	sendOrderedBroadcast	V	Landroid/content/Intent;,Ljava/lang/String;,Landroid/content/BroadcastReceiver;,Landroid/os/Handler;,I,Ljava/lang/String;,Landroid/os/Bundle;
Landroid/content/Context;	startActivity	V	Landroid/content/Intent;
Landroid/content/Context;	startService	Landroid/content/ComponentName;	Landroid/content/Intent;
Landroid/content/Context;	stopService	Z	Landroid/content/Intent;
Landroid/content/DialogInterface;	dismiss	V	
Landroid/content/Intent;	<init>	V	
Landroid/content/Intent;	<init>	V	Landroid/content/Context;,Ljava/lang/Class;
Landroid/content/Intent;	<init>	V	Ljava/lang/String;
Landroid/content/Intent;	<init>	V	Ljava/lang/String;,Landroid/net/Uri;
Landroid/content/Intent;	addCategory	Landroid/content/Intent;	Ljava/lang/String;
Landroid/content/Intent;	getAction	Ljava/lang/String;	
Landroid/content/Intent;	getBundleExtra	Landroid/os/Bundle;	Ljava/lang/String;
Landroid/content/Intent;	getDataString	Ljava/lang/String;	
Landroid/content/Intent;	getExtras	Landroid/os/Bundle;	
Landroid/content/Intent;	getFlags	I	
Landroid/content/Intent;	putExtra	Landroid/content/Intent;	Ljava/lang/String;,I
Landroid/content/Intent;	putExtra	Landroid/content/Intent;	Ljava/lang/String;,Landroid/os/Bundle;
Landroid/content/Intent;	putExtra	Landroid/content/Intent;	Ljava/lang/String;,Ljava/lang/String;
Landroid/content/Intent;	putExtra	Landroid/content/Intent;	Ljava/lang/String;,Z
Landroid/content/Intent;	putExtras	Landroid/content/Intent;	Landroid/os/Bundle;
Landroid/content/Intent;	setAction	Landroid/content/Intent;	Ljava/lang/String;
Landroid/content/Intent;	setClassName	Landroid/content/Intent;	Landroid/content/Context;,Ljava/lang/String;
Landroid/content/Intent;	setComponent	Landroid/content/Intent;	Landroid/content/ComponentName;
Landroid/content/Intent;	setDataAndType	Landroid/content/Intent;	Landroid/net/Uri;,Ljava/lang/String;
Landroid/content/Intent;	setFlags	Landroid/content/Intent;	I
Landroid/content/Intent;	setType	Landroid/content/Intent;	Ljava/lang/String;
Landroid/content/IntentFilter;	<init>	V	
Landroid/content/IntentFilter;	addAction	V	Ljava/lang/String;
Landroid/content/SharedPreferences$Editor;	commit	Z	
Landroid/content/SharedPreferences$Editor;	putBoolean	Landroid/content/SharedPreferences$Editor;	Ljava/lang/String;,Z
Landroid/content/SharedPreferences$Editor;	putFloat	Landroid/content/SharedPreferences$Editor;	Ljava/lang/String;,F
Landroid/content/SharedPreferences$Editor;	putInt	Landroid/content/SharedPreferences$Editor;	Ljava/lang/String;,I
Landroid/content/SharedPreferences$Editor;	putLong	Landroid/content/SharedPreferences$Editor;	Ljava/lang/String;,J
Landroid/content/SharedPreferences$Editor;	putString	Landroid/content/SharedPreferences$Editor;	Ljava/lang/String;,Ljava/lang/String;
Landroid/content/SharedPreferences;	contains	Z	Ljava/lang/String;
Landroid/content/SharedPreferences;	edit	Landroid/content/SharedPreferences$Editor;	
Landroid/content/SharedPreferences;	getBoolean	Z	Ljava/lang/String;,Z
Landroid/content/SharedPreferences;	getFloat	F	Ljava/lang/String;,F
Landroid/content/SharedPreferences;	getInt	I	Ljava/lang/String;,I
Landroid/content/SharedPreferences;	getLong	J	Ljava/lang/String;,J
Landroid/content/SharedPreferences;	getString	Ljava/lang/String;	Ljava/lang/String;,Ljava/lang/String;
Landroid/content/pm/PackageManager;	checkPermission	I	Ljava/lang/String;,Ljava/lang/String;
Landroid/content/pm/PackageManager;	getApplicationInfo	Landroid/content/pm/ApplicationInfo;	Ljava/lang/String;,I
Landroid/content/pm/PackageManager;	getPackageInfo	Landroid/content/pm/PackageInfo;	Ljava/lang/String;,I
Landroid/content/pm/PackageManager;	queryIntentActivities	Ljava/util/List;	Landroid/content/Intent;,I
Landroid/content/pm/PackageManager;	resolveActivity	Landroid/content/pm/ResolveInfo;	Landroid/content/Intent;,I
Landroid/content/res/Resources;	getColor	I	I
Landroid/content/res/Resources;	getConfiguration	Landroid/content/res/Configuration;	
Landroid/content/res/Resources;	getDisplayMetrics	Landroid/util/DisplayMetrics;	
Landroid/content/res/Resources;	getString	Ljava/lang/String;	I
Landroid/content/res/Resources;	getText	Ljava/lang/CharSequence;	I
Landroid/content/res/Resources;	getValue	V	Ljava/lang/String;,Landroid/util/TypedValue;,Z
Landroid/database/Cursor;	close	V	
Landroid/database/Cursor;	getBlob	[B	I
Landroid/database/Cursor;	getColumnIndex	I	Ljava/lang/String;
Landroid/database/Cursor;	getColumnName	Ljava/lang/String;	I
Landroid/database/Cursor;	getColumnNames	[Ljava/lang/String;	
Landroid/database/Cursor;	getCount	I	
Landroid/database/Cursor;	getInt	I	I
Landroid/database/Cursor;	getLong	J	I
Landroid/database/Cursor;	getString	Ljava/lang/String;	I
Landroid/database/Cursor;	moveToFirst	Z	
Landroid/database/Cursor;	moveToNext	Z	
Landroid/database/sqlite/SQLiteDatabase;	beginTransaction	V	
Landroid/database/sqlite/SQLiteDatabase;	close	V	
Landroid/database/sqlite/SQLiteDatabase;	delete	I	Ljava/lang/String;,Ljava/lang/String;,[Ljava/lang/String;
Landroid/database/sqlite/SQLiteDatabase;	endTransaction	V	
Landroid/database/sqlite/SQLiteDatabase;	execSQL	V	Ljava/lang/String;
Landroid/database/sqlite/SQLiteDatabase;	insert	J	Ljava/lang/String;,Ljava/lang/String;,Landroid/content/ContentValues;
Landroid/database/sqlite/SQLiteDatabase;	query	Landroid/database/Cursor;	Ljava/lang/String;,[Ljava/lang/String;,Ljava/lang/String;,[Ljava/lang/String;,Ljava/lang/String;,Ljava/lang/String;,Ljava/lang/String;
Landroid/database/sqlite/SQLiteDatabase;	rawQuery	Landroid/database/Cursor;	Ljava/lang/String;,[Ljava/lang/String;
Landroid/database/sqlite/SQLiteDatabase;	setTransactionSuccessful	V	
Landroid/database/sqlite/SQLiteDatabase;	update	I	Ljava/lang/String;,Landroid/content/ContentValues;,Ljava/lang/String;,[Ljava/lang/String;
Landroid/database/sqlite/SQLiteOpenHelper;	<init>	V	Landroid/content/Context;,Ljava/lang/String;,Landroid/database/sqlite/SQLiteDatabase$CursorFactory;,I
Landroid/graphics/Bitmap;	compress	Z	Landroid/graphics/Bitmap$CompressFormat;,I,Ljava/io/OutputStream;
Landroid/graphics/Bitmap;	createBitmap	Landroid/graphics/Bitmap;	I,I,Landroid/graphics/Bitmap$Config;
Landroid/graphics/Bitmap;	createScaledBitmap	Landroid/graphics/Bitmap;	Landroid/graphics/Bitmap;,I,I,Z
Landroid/graphics/Bitmap;	getHeight	I	
Landroid/graphics/Bitmap;	getPixels	V	[I,I,I,I,I,I,I
Landroid/graphics/Bitmap;	getWidth	I	
Landroid/graphics/Bitmap;	recycle	V	
Landroid/graphics/BitmapFactory$Options;	<init>	V	
Landroid/graphics/BitmapFactory;	decodeByteArray	Landroid/graphics/Bitmap;	[B,I,I,Landroid/graphics/BitmapFactory$Options;
Landroid/graphics/BitmapFactory;	decodeResource	Landroid/graphics/Bitmap;	Landroid/content/res/Resources;,I,Landroid/graphics/BitmapFactory$Options;
Landroid/graphics/Canvas;	<init>	V	Landroid/graphics/Bitmap;
Landroid/graphics/Canvas;	drawBitmap	V	Landroid/graphics/Bitmap;,F,F,Landroid/graphics/Paint;
Landroid/graphics/Canvas;	drawBitmap	V	Landroid/graphics/Bitmap;,Landroid/graphics/Rect;,Landroid/graphics/Rect;,Landroid/graphics/Paint;
Landroid/graphics/Canvas;	drawPath	V	Landroid/graphics/Path;,Landroid/graphics/Paint;
Landroid/graphics/Canvas;	drawRoundRect	V	Landroid/graphics/RectF;,F,F,Landroid/graphics/Paint;
Landroid/graphics/Color;	alpha	I	I
Landroid/graphics/Color;	argb	I	I,I,I,I
Landroid/graphics/Color;	blue	I	I
Landroid/graphics/Color;	green	I	I
Landroid/graphics/Color;	parseColor	I	Ljava/lang/String;
Landroid/graphics/Color;	red	I	I
Landroid/graphics/Paint;	<init>	V	
Landroid/graphics/Paint;	<init>	V	I
Landroid/graphics/Paint;	setAntiAlias	V	Z
Landroid/graphics/Paint;	setColor	V	I
Landroid/graphics/Paint;	setStyle	V	Landroid/graphics/Paint$Style;
Landroid/graphics/Paint;	setXfermode	Landroid/graphics/Xfermode;	Landroid/graphics/Xfermode;
Landroid/graphics/Path;	<init>	V	
Landroid/graphics/Path;	lineTo	V	F,F
Landroid/graphics/Path;	moveTo	V	F,F
Landroid/graphics/PorterDuffXfermode;	<init>	V	Landroid/graphics/PorterDuff$Mode;
Landroid/graphics/Rect;	<init>	V	I,I,I,I
Landroid/graphics/RectF;	<init>	V	F,F,F,F
Landroid/graphics/Typeface;	createFromAsset	Landroid/graphics/Typeface;	Landroid/content/res/AssetManager;,Ljava/lang/String;
Landroid/graphics/drawable/BitmapDrawable;	<init>	V	Landroid/graphics/Bitmap;
Landroid/graphics/drawable/BitmapDrawable;	setColorFilter	V	I,Landroid/graphics/PorterDuff$Mode;
Landroid/graphics/drawable/BitmapDrawable;	setTileModeX	V	Landroid/graphics/Shader$TileMode;
Landroid/graphics/drawable/BitmapDrawable;	setTileModeXY	V	Landroid/graphics/Shader$TileMode;,Landroid/graphics/Shader$TileMode;
Landroid/graphics/drawable/ColorDrawable;	<init>	V	I
Landroid/graphics/drawable/Drawable;	setColorFilter	V	I,Landroid/graphics/PorterDuff$Mode;
Landroid/graphics/drawable/Drawable;	setColorFilter	V	Landroid/graphics/ColorFilter;
Landroid/graphics/drawable/GradientDrawable;	<init>	V	Landroid/graphics/drawable/GradientDrawable$Orientation;,[I
Landroid/graphics/drawable/GradientDrawable;	setColorFilter	V	I,Landroid/graphics/PorterDuff$Mode;
Landroid/graphics/drawable/GradientDrawable;	setColorFilter	V	Landroid/graphics/ColorFilter;
Landroid/location/Location;	getAccuracy	F	
Landroid/location/Location;	getLatitude	D	
Landroid/location/Location;	getLongitude	D	
Landroid/location/Location;	getTime	J	
Landroid/media/AudioManager;	getMode	I	
Landroid/media/AudioManager;	getRingerMode	I	
Landroid/media/AudioManager;	isMusicActive	Z	
Landroid/media/AudioManager;	isSpeakerphoneOn	Z	
Landroid/media/MediaPlayer;	create	Landroid/media/MediaPlayer;	Landroid/content/Context;,I
Landroid/media/MediaPlayer;	isPlaying	Z	
Landroid/media/MediaPlayer;	pause	V	
Landroid/media/MediaPlayer;	release	V	
Landroid/media/MediaPlayer;	setLooping	V	Z
Landroid/media/MediaPlayer;	setVolume	V	F,F
Landroid/media/MediaPlayer;	start	V	
Landroid/media/SoundPool;	<init>	V	I,I,I
Landroid/media/SoundPool;	load	I	Landroid/content/Context;,I,I
Landroid/media/SoundPool;	play	I	I,F,F,I,I,F
Landroid/media/SoundPool;	release	V	
Landroid/media/SoundPool;	stop	V	I
Landroid/net/ConnectivityManager;	getActiveNetworkInfo	Landroid/net/NetworkInfo;	
Landroid/net/ConnectivityManager;	getNetworkInfo	Landroid/net/NetworkInfo;	I
Landroid/net/NetworkInfo;	getState	Landroid/net/NetworkInfo$State;	
Landroid/net/NetworkInfo;	getType	I	
Landroid/net/NetworkInfo;	isAvailable	Z	
Landroid/net/NetworkInfo;	isConnectedOrConnecting	Z	
Landroid/net/Uri;	getAuthority	Ljava/lang/String;	
Landroid/net/Uri;	getEncodedQuery	Ljava/lang/String;	
Landroid/net/Uri;	getHost	Ljava/lang/String;	
Landroid/net/Uri;	getPath	Ljava/lang/String;	
Landroid/net/Uri;	getScheme	Ljava/lang/String;	
Landroid/net/Uri;	isHierarchical	Z	
Landroid/net/Uri;	parse	Landroid/net/Uri;	Ljava/lang/String;
Landroid/net/Uri;	toString	Ljava/lang/String;	
Landroid/net/Uri;	withAppendedPath	Landroid/net/Uri;	Landroid/net/Uri;,Ljava/lang/String;
Landroid/net/http/AndroidHttpClient;	close	V	
Landroid/net/http/AndroidHttpClient;	execute	Lorg/apache/http/HttpResponse;	Lorg/apache/http/client/methods/HttpUriRequest;
Landroid/net/http/AndroidHttpClient;	newInstance	Landroid/net/http/AndroidHttpClient;	Ljava/lang/String;
Landroid/opengl/GLSurfaceView;	<init>	V	Landroid/content/Context;
Landroid/opengl/GLSurfaceView;	getHolder	Landroid/view/SurfaceHolder;	
Landroid/opengl/GLSurfaceView;	onPause	V	
Landroid/opengl/GLSurfaceView;	onResume	V	
Landroid/opengl/GLSurfaceView;	setEGLConfigChooser	V	I,I,I,I,I,I
Landroid/opengl/GLSurfaceView;	setEGLContextClientVersion	V	I
Landroid/opengl/GLSurfaceView;	setLayoutParams	V	Landroid/view/ViewGroup$LayoutParams;
Landroid/opengl/GLSurfaceView;	setRenderer	V	Landroid/opengl/GLSurfaceView$Renderer;
Landroid/os/AsyncTask;	<init>	V	
Landroid/os/AsyncTask;	onPreExecute	V	
Landroid/os/Bundle;	<init>	V	
Landroid/os/Bundle;	getInt	I	Ljava/lang/String;
Landroid/os/Bundle;	getSerializable	Ljava/io/Serializable;	Ljava/lang/String;
Landroid/os/Bundle;	getString	Ljava/lang/String;	Ljava/lang/String;
Landroid/os/Bundle;	getStringArrayList	Ljava/util/ArrayList;	Ljava/lang/String;
Landroid/os/Bundle;	putSerializable	V	Ljava/lang/String;,Ljava/io/Serializable;
Landroid/os/Bundle;	putString	V	Ljava/lang/String;,Ljava/lang/String;
Landroid/os/Bundle;	putStringArrayList	V	Ljava/lang/String;,Ljava/util/ArrayList;
Landroid/os/CountDownTimer;	<init>	V	J,J
Landroid/os/Handler;	<init>	V	
Landroid/os/Handler;	<init>	V	Landroid/os/Looper;
Landroid/os/Handler;	post	Z	Ljava/lang/Runnable;
Landroid/os/Handler;	postDelayed	Z	Ljava/lang/Runnable;,J
Landroid/os/Handler;	removeCallbacks	V	Ljava/lang/Runnable;
Landroid/os/HandlerThread;	<init>	V	Ljava/lang/String;
Landroid/os/HandlerThread;	getLooper	Landroid/os/Looper;	
Landroid/os/HandlerThread;	start	V	
Landroid/os/Looper;	getMainLooper	Landroid/os/Looper;	
Landroid/os/SystemClock;	elapsedRealtime	J	
Landroid/os/SystemClock;	uptimeMillis	J	
Landroid/preference/Preference;	setOnPreferenceChangeListener	V	Landroid/preference/Preference$OnPreferenceChangeListener;
Landroid/preference/Preference;	setOnPreferenceClickListener	V	Landroid/preference/Preference$OnPreferenceClickListener;
Landroid/preference/Preference;	setSummary	V	Ljava/lang/CharSequence;
Landroid/preference/PreferenceActivity;	<init>	V	
Landroid/preference/PreferenceActivity;	onCreate	V	Landroid/os/Bundle;
Landroid/preference/PreferenceActivity;	onPause	V	
Landroid/preference/PreferenceActivity;	onResume	V	
Landroid/preference/PreferenceManager;	getDefaultSharedPreferences	Landroid/content/SharedPreferences;	Landroid/content/Context;
Landroid/preference/PreferenceScreen;	findPreference	Landroid/preference/Preference;	Ljava/lang/CharSequence;
Landroid/provider/Settings$Secure;	getString	Ljava/lang/String;	Landroid/content/ContentResolver;,Ljava/lang/String;
Landroid/support/v4/view/PagerAdapter;	<init>	V	
Landroid/support/v4/view/ViewPager;	<init>	V	Landroid/content/Context;
Landroid/support/v4/view/ViewPager;	getCurrentItem	I	
Landroid/support/v4/view/ViewPager;	setAdapter	V	Landroid/support/v4/view/PagerAdapter;
Landroid/support/v4/view/ViewPager;	setCurrentItem	V	I
Landroid/support/v4/view/ViewPager;	setId	V	I
Landroid/text/Editable;	toString	Ljava/lang/String;	
Landroid/text/TextUtils;	isEmpty	Z	Ljava/lang/CharSequence;
Landroid/text/format/DateUtils;	formatDateTime	Ljava/lang/String;	Landroid/content/Context;,J,I
Landroid/util/AttributeSet;	getAttributeBooleanValue	Z	Ljava/lang/String;,Ljava/lang/String;,Z
Landroid/util/AttributeSet;	getAttributeValue	Ljava/lang/String;	Ljava/lang/String;,Ljava/lang/String;
Landroid/util/Base64;	decode	[B	Ljava/lang/String;,I
Landroid/util/Base64;	encodeToString	Ljava/lang/String;	[B,I
Landroid/util/DisplayMetrics;	<init>	V	
Landroid/util/FloatMath;	sqrt	F	F
Landroid/util/Log;	d	I	Ljava/lang/String;,Ljava/lang/String;
Landroid/util/Log;	e	I	Ljava/lang/String;,Ljava/lang/String;
Landroid/util/Log;	e	I	Ljava/lang/String;,Ljava/lang/String;,Ljava/lang/Throwable;
Landroid/util/Log;	i	I	Ljava/lang/String;,Ljava/lang/String;
Landroid/util/Log;	isLoggable	Z	Ljava/lang/String;,I
Landroid/util/Log;	v	I	Ljava/lang/String;,Ljava/lang/String;
Landroid/util/Log;	w	I	Ljava/lang/String;,Ljava/lang/String;
Landroid/util/Log;	w	I	Ljava/lang/String;,Ljava/lang/String;,Ljava/lang/Throwable;
Landroid/util/Log;	w	I	Ljava/lang/String;,Ljava/lang/Throwable;
Landroid/util/SparseIntArray;	<init>	V	
Landroid/util/SparseIntArray;	get	I	I
Landroid/util/SparseIntArray;	put	V	I,I
Landroid/util/TypedValue;	<init>	V	
Landroid/util/TypedValue;	applyDimension	F	I,F,Landroid/util/DisplayMetrics;
Landroid/util/Xml;	newPullParser	Lorg/xmlpull/v1/XmlPullParser;	
Landroid/view/Display;	getHeight	I	
Landroid/view/Display;	getMetrics	V	Landroid/util/DisplayMetrics;
Landroid/view/Display;	getWidth	I	
Landroid/view/GestureDetector;	<init>	V	Landroid/content/Context;,Landroid/view/GestureDetector$OnGestureListener;
Landroid/view/GestureDetector;	<init>	V	Landroid/view/GestureDetector$OnGestureListener;
Landroid/view/GestureDetector;	onTouchEvent	Z	Landroid/view/MotionEvent;
Landroid/view/KeyEvent;	getAction	I	
Landroid/view/KeyEvent;	getKeyCode	I	
Landroid/view/LayoutInflater;	from	Landroid/view/LayoutInflater;	Landroid/content/Context;
Landroid/view/LayoutInflater;	inflate	Landroid/view/View;	I,Landroid/view/ViewGroup;
Landroid/view/Menu;	add	Landroid/view/MenuItem;	I,I,I,I
Landroid/view/MenuItem;	getItemId	I	
Landroid/view/MenuItem;	setIcon	Landroid/view/MenuItem;	I
Landroid/view/MotionEvent;	getAction	I	
Landroid/view/MotionEvent;	getActionMasked	I	
Landroid/view/MotionEvent;	getRawX	F	
Landroid/view/MotionEvent;	getRawY	F	
Landroid/view/MotionEvent;	getX	F	
Landroid/view/MotionEvent;	getY	F	
Landroid/view/MotionEvent;	obtain	Landroid/view/MotionEvent;	J,J,I,F,F,I
Landroid/view/SurfaceHolder;	setFormat	V	I
Landroid/view/View$MeasureSpec;	getMode	I	I
Landroid/view/View$MeasureSpec;	getSize	I	I
Landroid/view/View;	bringToFront	V	
Landroid/view/View;	findViewById	Landroid/view/View;	I
Landroid/view/View;	getBackground	Landroid/graphics/drawable/Drawable;	
Landroid/view/View;	getContext	Landroid/content/Context;	
Landroid/view/View;	getLeft	I	
Landroid/view/View;	getTag	Ljava/lang/Object;	
Landroid/view/View;	getTop	I	
Landroid/view/View;	getVisibility	I	
Landroid/view/View;	getWidth	I	
Landroid/view/View;	invalidate	V	
Landroid/view/View;	setAnimation	V	Landroid/view/animation/Animation;
Landroid/view/View;	setBackgroundDrawable	V	Landroid/graphics/drawable/Drawable;
Landroid/view/View;	setEnabled	V	Z
Landroid/view/View;	setOnClickListener	V	Landroid/view/View$OnClickListener;
Landroid/view/View;	setTag	V	Ljava/lang/Object;
Landroid/view/View;	setVisibility	V	I
Landroid/view/View;	startAnimation	V	Landroid/view/animation/Animation;
Landroid/view/ViewConfiguration;	get	Landroid/view/ViewConfiguration;	Landroid/content/Context;
Landroid/view/ViewConfiguration;	getScaledTouchSlop	I	
Landroid/view/ViewGroup$LayoutParams;	<init>	V	I,I
Landroid/view/ViewGroup;	addView	V	Landroid/view/View;
Landroid/view/ViewGroup;	getChildAt	Landroid/view/View;	I
Landroid/view/ViewGroup;	getChildCount	I	
Landroid/view/ViewGroup;	removeAllViews	V	
Landroid/view/ViewGroup;	removeView	V	Landroid/view/View;
Landroid/view/Window;	addFlags	V	I
Landroid/view/Window;	getAttributes	Landroid/view/WindowManager$LayoutParams;	
Landroid/view/Window;	setAttributes	V	Landroid/view/WindowManager$LayoutParams;
Landroid/view/Window;	setBackgroundDrawable	V	Landroid/graphics/drawable/Drawable;
Landroid/view/Window;	setFlags	V	I,I
Landroid/view/WindowManager$LayoutParams;	<init>	V	
Landroid/view/WindowManager$LayoutParams;	copyFrom	I	Landroid/view/WindowManager$LayoutParams;
Landroid/view/WindowManager;	getDefaultDisplay	Landroid/view/Display;	
Landroid/view/animation/AccelerateDecelerateInterpolator;	<init>	V	
Landroid/view/animation/AccelerateInterpolator;	<init>	V	
Landroid/view/animation/AccelerateInterpolator;	<init>	V	F
Landroid/view/animation/AlphaAnimation;	<init>	V	F,F
Landroid/view/animation/AlphaAnimation;	setDuration	V	J
Landroid/view/animation/AlphaAnimation;	setFillAfter	V	Z
Landroid/view/animation/AlphaAnimation;	setInterpolator	V	Landroid/view/animation/Interpolator;
Landroid/view/animation/Animation;	setDuration	V	J
Landroid/view/animation/Animation;	setInterpolator	V	Landroid/view/animation/Interpolator;
Landroid/view/animation/DecelerateInterpolator;	<init>	V	
Landroid/view/animation/Interpolator;	getInterpolation	F	F
Landroid/view/animation/LinearInterpolator;	<init>	V	
Landroid/view/animation/ScaleAnimation;	<init>	V	F,F,F,F,I,F,I,F
Landroid/view/animation/ScaleAnimation;	setDuration	V	J
Landroid/view/animation/ScaleAnimation;	setInterpolator	V	Landroid/view/animation/Interpolator;
Landroid/view/animation/TranslateAnimation;	<init>	V	I,F,I,F,I,F,I,F
Landroid/webkit/WebChromeClient;	<init>	V	
Landroid/webkit/WebSettings;	getUserAgentString	Ljava/lang/String;	
Landroid/webkit/WebSettings;	setCacheMode	V	I
Landroid/webkit/WebSettings;	setJavaScriptEnabled	V	Z
Landroid/webkit/WebSettings;	setPluginsEnabled	V	Z
Landroid/webkit/WebSettings;	setSaveFormData	V	Z
